codigo;nombre;unidad;familia;sistema;costo_unitario
JEB006;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 6""";UND;TUBERIAS;CHW;0
JEB008;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 8""";UND;TUBERIAS;CHW;0
JEB010;"JUNTA DE EXPANSION, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 10""";UND;TUBERIAS;CHW;0
JER034;"JUNTA DE EXPANSION, ROSCADA, Ø 3/4""";UND;TUBERIAS;CHW;0
FYB003;"FILTRO TIPO Y, BRIDADO, CON BRIDAS ANSI CLASS 150, Ø 3""";UND;TUBERIAS;CHW;0
FYB006;"FILTRO TIPO Y, BRIDADO, CON BRIDAS ANSI CLASS 150, Ø 6""";UND;TUBERIAS;CHW;0
FYB010;"FILTRO TIPO Y, BRIDADO, CON BRIDAS ANSI CLASS 150, Ø 10""";UND;TUBERIAS;CHW;0
FYR112;"FILTRO TIPO Y, ROSCADO NPT, Ø 1 1/2""";UND;TUBERIAS;CHW;0
FYR002;"FILTRO TIPO Y, ROSCADO NPT, Ø 2""";UND;TUBERIAS;CHW;0
FYR034;"FILTRO TIPO Y, ROSCADO NPT, Ø 3/4""";UND;TUBERIAS;CHW;0
VBR140;"VALVULA DE BOLA, ROSCADA, Ø 1/4""";UND;VALVULAS;CHW;0
VBR120;"VALVULA DE BOLA, ROSCADA, Ø 1/2""";UND;VALVULAS;CHW;0
VBR034;"VALVULA DE BOLA, ROSCADA, Ø 3/4""";UND;VALVULAS;CHW;0
VBR001;"VALVULA DE BOLA, ROSCADA, Ø 1""";UND;VALVULAS;CHW;0
VBR112;"VALVULA DE BOLA , ROSCADA, Ø 1 1/2""";UND;VALVULAS;CHW;0
VBR002;"VALVULA DE BOLA , ROSCADA, Ø 2""";UND;VALVULAS;CHW;0
VTV112;"VALVULA DE TRES VÍAS (ON/OFF) MOTORIZADA, ROSCADA, Ø 1 1/2""";UND;VALVULAS;CHW;0
VAR001;"VALVULA DE ALIVIO ROSCADA, DIÁMETRO Ø 1""";UND;VALVULAS;CHW;0
VBLR112;"VALVULA DE BALANCEO, ROSCADA, Ø 1 1/2""";UND;VALVULAS;CHW;0
VBLR002;"VALVULA DE BALANCEO, ROSCADA, Ø 2""";UND;VALVULAS;CHW;0
VCR112;"VALVULA DE COMPUERTA, ROSCADA, DIÁMETRO Ø 1 1/2""";UND;VALVULAS;CHW;0
VCR003;"VALVULA DE COMPUERTA, ROSCADA, DIÁMETRO Ø 3""";UND;VALVULAS;CHW;0
VCB010;"VALVULA DE COMPUERTA, BRIDADA, CON BRIDAS ANSI CLASS 150, Ø 10""";UND;VALVULAS;CHW;0
